DateTime,temperature,wind_speed,air_pressure,humidity,wind_direction,rainfall
2016-02-10 10:00:00,27.8,4.0,1012.84,79.0,70.0,
2016-02-10 13:00:00,29.9,5.0,1011.25,66.0,70.0,
2016-02-10 16:00:00,29.2,16.0,1009.06,66.0,70.0,
2016-02-10 19:00:00,27.8,3.0,1009.24,75.0,70.0,
2016-02-10 22:00:00,26.6,0.0,1010.9,86.0,0.0,
2016-02-11 01:00:00,26.4,5.0,1010.11,89.0,40.0,
2016-02-11 04:00:00,26.2,7.0,1009.21,90.0,130.0,
2016-02-11 07:00:00,26.5,3.0,1009.78,84.0,90.0,
2016-02-11 10:00:00,28.7,0.0,1010.95,73.0,0.0,
2016-02-11 13:00:00,30.4,6.0,1009.03,65.0,100.0,
2016-02-11 16:00:00,29.2,4.0,1008.1,74.0,50.0,
2016-02-11 19:00:00,27.4,3.0,1008.9,85.0,80.0,
2016-02-11 22:00:00,27.2,3.0,1010.7,87.0,100.0,
2016-02-12 01:00:00,26.5,0.0,1010.41,92.0,0.0,
2016-02-12 04:00:00,25.7,0.0,1009.2,93.0,0.0,
2016-02-12 07:00:00,26.6,4.0,1009.76,86.0,70.0,
2016-02-12 10:00:00,30.2,10.0,1011.25,72.0,90.0,
2016-02-12 13:00:00,31.1,10.0,1008.61,64.0,90.0,
2016-02-12 16:00:00,30.5,6.0,1007.2,65.0,90.0,
2016-02-12 19:00:00,28.1,0.0,1009.18,79.0,0.0,
2016-02-12 22:00:00,27.3,4.0,1010.68,86.0,50.0,
2016-02-13 01:00:00,27.0,0.0,1010.31,88.0,0.0,
2016-02-13 04:00:00,26.7,0.0,1009.39,91.0,0.0,
2016-02-13 07:00:00,26.3,3.0,1010.01,88.0,60.0,
2016-02-13 10:00:00,29.8,4.0,1011.89,72.0,10.0,
2016-02-13 13:00:00,31.7,4.0,1010.23,65.0,60.0,
2016-02-13 16:00:00,31.8,6.0,1007.23,61.0,40.0,
2016-02-13 19:00:00,28.4,6.0,1008.3,85.0,40.0,
2016-02-13 22:00:00,27.0,5.0,1009.93,88.0,40.0,
2016-02-14 01:00:00,26.5,7.0,1009.02,80.0,40.0,
2016-02-14 04:00:00,26.2,6.0,1008.72,94.0,40.0,
2016-02-14 07:00:00,26.5,0.0,1009.71,88.0,0.0,
2016-02-14 10:00:00,30.0,3.0,1011.52,71.0,110.0,
2016-02-14 13:00:00,31.4,7.0,1009.46,63.0,10.0,
2016-02-14 16:00:00,30.0,7.0,1007.75,75.0,70.0,
2016-02-14 19:00:00,28.3,6.0,1008.84,85.0,50.0,
2016-02-14 22:00:00,27.6,6.0,1011.08,91.0,100.0,
2016-02-15 01:00:00,27.1,0.0,1010.93,91.0,0.0,
2016-02-15 04:00:00,26.7,7.0,1010.43,93.0,70.0,
2016-02-15 07:00:00,26.8,4.0,1011.2,90.0,140.0,
2016-02-15 10:00:00,30.8,4.0,1012.56,69.0,110.0,
2016-02-15 13:00:00,31.3,0.0,1010.99,66.0,0.0,
2016-02-15 16:00:00,30.8,6.0,1008.86,67.0,90.0,
2016-02-15 19:00:00,28.1,4.0,1010.06,82.0,40.0,
2016-02-15 22:00:00,27.6,0.0,1012.97,84.0,0.0,
2016-02-16 01:00:00,27.3,0.0,1012.58,85.0,0.0,
2016-02-16 04:00:00,26.8,0.0,1011.48,90.0,0.0,
2016-02-16 07:00:00,26.7,3.0,1012.32,84.0,30.0,
2016-02-16 10:00:00,29.9,3.0,1014.28,73.0,10.0,
2016-02-16 13:00:00,31.5,6.0,1012.55,62.0,70.0,
2016-02-16 16:00:00,30.0,3.0,1010.18,65.0,10.0,
2016-02-16 19:00:00,27.8,7.0,1011.15,68.0,80.0,
2016-02-16 22:00:00,27.3,3.0,1013.88,75.0,100.0,
2016-02-17 01:00:00,26.4,0.0,1013.48,81.0,0.0,
2016-02-17 04:00:00,26.2,0.0,1011.98,82.0,0.0,
2016-02-17 07:00:00,26.0,5.0,1013.18,80.0,110.0,
2016-02-17 10:00:00,29.0,7.0,1015.05,72.0,70.0,
2016-02-17 13:00:00,31.6,4.0,1012.71,56.0,80.0,
2016-02-17 16:00:00,30.7,23.0,1010.85,55.0,60.0,
2016-02-17 19:00:00,27.6,4.0,1010.98,77.0,70.0,
2016-02-17 22:00:00,27.0,7.0,1013.14,77.0,70.0,
