Date,44T
19/1/2020,32
20/1/2020,29
21/1/2020,26
22/1/2020,23
23/1/2020,21
24/1/2020,26
25/1/2020,26
26/1/2020,26
27/1/2020,26
28/1/2020,25
29/1/2020,22
30/1/2020,21
31/1/2020,28
1/2/2020,32
2/2/2020,35
3/2/2020,
4/2/2020,39
5/2/2020,29
6/2/2020,29
7/2/2020,37
8/2/2020,36
9/2/2020,26
10/2/2020,30
11/2/2020,29
12/2/2020,25
13/2/2020,23
14/2/2020,
15/2/2020,
16/2/2020,24
17/2/2020,22
18/2/2020,26
19/2/2020,35
20/2/2020,35
21/2/2020,32
22/2/2020,40
23/2/2020,34
24/2/2020,33
25/2/2020,32
26/2/2020,27
27/2/2020,26
28/2/2020,25
29/2/2020,29
1/3/2020,28
2/3/2020,23
3/3/2020,24
4/3/2020,23
5/3/2020,23
6/3/2020,22
7/3/2020,27
8/3/2020,31
9/3/2020,44
10/3/2020,49
11/3/2020,44
12/3/2020,31
13/3/2020,19
14/3/2020,17
15/3/2020,19
16/3/2020,23
17/3/2020,29
18/3/2020,29
19/3/2020,27
20/3/2020,21
21/3/2020,20
22/3/2020,26
23/3/2020,24
24/3/2020,22
25/3/2020,19
26/3/2020,18
27/3/2020,22
28/3/2020,23
29/3/2020,27
30/3/2020,22
31/3/2020,23
1/4/2020,22
2/4/2020,21
3/4/2020,18
4/4/2020,20
5/4/2020,22
6/4/2020,21
7/4/2020,21
8/4/2020,25
9/4/2020,22
10/4/2020,19
11/4/2020,16
12/4/2020,19
13/4/2020,19
14/4/2020,18
15/4/2020,17
16/4/2020,19
17/4/2020,31
18/4/2020,19
